index	event	rel	is_certain(1:certain; 0:uncertain)	gene/protein	disease	sentence
566	A.1 Over-expression	E. Associate	1	NCX1	heart failure	The expression of the sodium/calcium exchanger NCX1 increases during cardiac hypertrophy and heart failure, playing an important role in Ca(2+) extrusion.
567	I. None	A. Treat	1	ANP	Acute Congestive Heart Failure	On the basis of these findings, we prepared a fusion protein carrying human atrial natriuretic peptide (ANP), a drug for acute congestive heart failure.
568	I. None	H. Benefit	1	EC-SOD	heart failure	Extracellular superoxide dismutase (EC-SOD) is of particular interest, as it demonstrates in vivo the protective action against development of atherosclerosis, hypertension, heart failure, diabetes mellitus.
569	F.1 Phosphorylation	E. Associate	1	cTnI	heart failure	Protein kinase C (PKC)-mediated phosphorylation of troponin I (cTnI) at Ser42/44 is increased in heart failure.
570	J. Inhibition	A. Treat	1	ACE	CONGESTIVE CARDIAC FAILURE	ACE inhibitors and beta blockers in chronic congestive cardiac failure: therapeutic basis.
571	D.1 Mutation	C. Cause	1	LMNA	congestive heart failure	On the other hand, affected subjects from three FPLD pedigrees with heterozygous R28W, R60G and R62G LMNA mutations in the amino-terminal had associated cardiomyopathy presenting as premature onset of congestive heart failure, dilated cardiomyopathy and conduction system disturbances.
572	F.1 Phosphorylation	E. Associate	1	eNOS	heart failure	Thus, increased VCAM-1 and PAI-1, and decreased eNOS phosphorylation through the TLR4/NFκB/p38 pathway, may be associated with atrial thrombogenesis in the heart failure mice model.
573	J. Inhibition	A. Treat	1	ACE	congestive heart failure	The role of ACE inhibitors has been established in the treatment of hypertension and congestive heart failure.
574	I. None	B. Target	1	LOXL2	heart failure	Targeting LOXL2 for cardiac interstitial fibrosis and heart failure treatment.
575	I. None	B. Target	1	APJ	CHRONIC HEART FAILURE	In combination with its interaction with the renin-angiotensin system, APJ agonism may provide a new therapeutic target in the treatment of acute and chronic heart failure.
576	J. Inhibition	A. Treat	1	ACE	heart failure	Short-term improvement in submaximal exercise capacity by optimized therapy with ACE inhibitors and beta blockers in heart failure patients is associated with restoration of peripheral endothelial function.
577	I. None	G. Marker	1	NRON	heart failure	Circulating long non-coding RNAs NRON and MHRT as novel predictive biomarkers of heart failure.
578	J. Inhibition	A. Treat	1	ACE	heart failure	Given the dramatic decline in quality of life with heart failure, this end-point should be a much more important target for healthcare interventions, especially treatments such as ACE inhibitors and beta-blockers that are shown to improve quality of life.
579	J. Inhibition	A. Treat	1	angiotensin-converting enzyme	heart failure	Accordingly, blockade of this system by angiotensin-converting enzyme (ACE) inhibitors has assumed a central role in the treatment of heart failure.
580	J. Inhibition	A. Treat	1	ACE	congestive heart failure	Overall, the evidence does not support the use of ACE inhibitors as first-line drugs in the management of most patients with hypertension, although they have proven benefit as second-line drugs for the treatment of congestive heart failure and left ventricular dysfunction secondary to myocardial infarction.
581	J. Inhibition	E. Associate	1	ACE	chf	Nevertheless, ACE inhibitors can impair renal function in CHF, leading to an actual increase in plasma concentrations.
582	D.1 Mutation	E. Associate	1	GPX4	cardiorespiratory failure	Mutations in GPX4 were linked to Sedaghatian disease, characterized by bone and brain anomalies and cardiorespiratory failure.
583	D.1 Mutation	C. Cause	1	LDB3	Cardiac Failure	Additional cardiac stress, such as that caused by AVR and/or KD might have triggered cardiac failure in the form of LVNC due to LDB3 mutation.
584	G. Regulate	E. Associate	1	AVP	chf	A number of studies have shown that rats with congestive heart failure (CHF) have increased protein levels of the vasopressin (AVP)-regulated water channel aquaporin-2 (AQP2) even during conditions with unchanged circulating levels of AVP, suggesting an increase in the sensitivity of the AVP type 2 (V2) receptor in experimental CHF.
585	A.2 Under-expression	C. Cause	0	MMP-2	heart failure	We hypothesize that genetic ablation of TIMP-2 exacerbates the adverse cardiac matrix remodelling due to lack of pro-angiogenic MMP-2 and increase in anti-angiogenic factors during pressure overload stress and results in severe heart failure.
586	A.2 Under-expression	E. Associate	0	ANP	heart failure	This study was aimed to clone and sequence corin in the rat and to analyze corin mRNA expression in heart failure when ANP release upon stretch is blunted.
587	A. Expression	E. Associate	0	ST2	heart failure	The aim of this study was (1) to investigate myocardial expression of the IL-33/ST2 pathway in relation to myocardial fibrosis in end-stage heart failure patients and (2) to study whether plasma sST2 is associated with histologically determined cardiac fibrosis.
588	C. Activation	E. Associate	0	glucagon-like peptide 1 receptor	heart failure	There appears to be growing evidence for the benefit of sodium-glucose cotransporter-2 inhibitors, and there are still not enough data to fully support the safety of glucagon-like peptide 1 receptor agonists in heart failure.
589	D.1 Mutation	E. Associate	1	KCNT1	heart failure	Herein we describe 3 infants with malignant migrating partial seizures with KCNT1 mutations accompanied by massive systemic to pulmonary collateral arteries with life-threatening hemoptysis and heart failure.
590	F.1 Phosphorylation	E. Associate	1	cTnI	chf	The relative percentages of the total phosphorylated cTnI forms over the entire cTnI populations (%P(total)) were 56.4 ± 3.5%, 36.9 ± 1.6%, 6.1 ± 2.4%, and 1.0 ± 0.6% for postmortem hearts with normal cardiac function (n = 7), early stage of mild hypertrophy (n = 5), severe hypertrophy/dilation (n = 4), and end-stage CHF (n = 6), respectively.
591	J. Inhibition	E. Associate	1	ACE	heart failure	In patients with stable coronary artery disease (CAD) without overt heart failure, ACE inhibitors are among the most commonly used drugs as these agents have been proven effective in reducing the risk of cardiovascular events.
592	D.1 Mutation	E. Associate	1	RyR	heart failure	Pathological desynchronization of the clocks may explain sinus node dysfunction in heart failure and RyR mutations.
593	I. None	E. Associate	0	OPN	heart failure	In this review, we will discuss diverse roles of OPN related to cardiovascular diseases, including atherosclerosis, valvular stenosis, hypertrophy, myocardial infarction and heart failure.
594	I. None	E. Associate	0	erythropoietin	CHRONIC HEART FAILURE	Recombinant human Epo treatment: beneficial in chronic kidney disease, chronic heart failure, or both? Editorial to: "Correction of anemia with erythropoietin in chronic kidney disease (stage 3 or 4): effects on cardiac performance by Pappas et al.".
595	A. Expression	E. Associate	1	AVP	CONGESTIVE CARDIAC FAILURE	The extraction and assay procedures were validated by observing the changes in plasma AVP and ANP concentrations in normal subjects at different stages of hydration and in elderly patients during treatment for congestive cardiac failure.
596	J. Inhibition	E. Associate	0	ECE	chf	We therefore investigated the effects of endothelin-converting enzyme (ECE) inhibition and endothelin ETA receptor blockade in CHF patients treated with ACE inhibitors.
597	L.1 Up-regulation	E. Associate	0	APJ	Cardiac Failure	In cardiac failure, endothelial apelin expression correlates with other hypoxia-responsive genes, and in healthy animals both apelin and APJ are markedly upregulated in various tissues following systemic hypoxic exposure.
598	I. None	E. Associate	0	CPT	congestive heart failure (CHF)	In a group of 10 patients (9 male, 1 female, aged 16 to 56, mean 43 years) with severe congestive heart failure (CHF), due to ischemic heart disease (8 cases) or dilatative cardiomyopathy (2 cases), the acute hemodynamic response to captopril (CPT) (90 min after 50 mg po) was evaluated.
599	A. Expression	E. Associate	1	aquaporin-2	CHRONIC HEART FAILURE	[Effects of perindopril on expression of kidney aquaporin-2 and urine aquaporin-2 excretion in chronic heart failure rats].
600	A. Expression	E. Associate	1	AR	CHRONIC HEART FAILURE	However, there are few reports concerning AR expression and the protective effect of angiotensin II receptor blockers (ARB) on the lung in chronic heart failure (CHF).
601	I. None	E. Associate	0	YKL-40	congestive heart failure (CHF)	The concentrations of serum and pleural fluid YKL-40 and conventional pleural marker levels were measured in 80 subjects with pleural effusions, including 23 transudates caused by congestive heart failure (CHF), and 57 exudates including 23 parapneumonic, 22 malignant and 12 tuberculous pleural effusions (TBPEs).
602	A. Expression	E. Associate	1	NCX	heart failure	hemodynamics) on the regulation of NKA isoform and NCX expression in heart failure by comparing the pattern of change in right atrial myocardium during heart failure with that previously determined for LV.
603	I. None	H. Benefit	0	CD30	heart failure	Here, we hypothesized that brentuximab vedotin, which targets CD30, induces apoptosis in tumourigenic cells, thus increasing the safety of iPSC therapy for heart failure.
604	I. None	E. Associate	0	osteopontin	Diastolic Heart Failure	Plasma concentration of 17 biomarkers (matrix metalloproteinase [MMP]-1, -2, -3, -7, -8, and -9; tissue inhibitors -1, -2, -3, and -4; N-terminal propeptide of brain natriuretic peptide (NT-proBNP); cardiotrophin; osteopontin; soluble receptor for advanced glycation end products; collagen I teleopeptide; collagen I NT-proBNP; and collagen III N-terminal propetide [PIIINP]), an echocardiogram, and 6-minute hall walk were performed on 241 referent control subjects, 144 patients with LVH but no evidence of heart failure, and 61 patients with LVH and diastolic heart failure (DHF).
605	L. Be regulated	E. Associate	0	S100A1	heart failure	We hypothesized that S100A1 is regulated during human hypertrophy and heart failure and that it may be implicated in remodeling after left ventricular assist device.
606	I. None	E. Associate	1	RyR	heart failure	But that is expected given the large number of participating proteins, the relevance of phosphorylation in heart failure and inherited arrhythmic diseases, and the frustrations of predicting relationships between structure and function before the advent of a high resolution structure of RyR.
607	G. Regulate	E. Associate	1	TNF	congestive heart failure	Although patients with advanced congestive heart failure express elevated circulating levels of tumour necrosis factor-alpha (TNFalpha), little is known about the prognostic importance and regulation of TNF in the heart in cardiac disease states.
608	D.1 Mutation	E. Associate	0	NOS1AP	chf	A total of 1,428 patients with CHF and 480 control subjects were genotyped for 6 SNPs of NOS1AP, and the genetic associations with mortality as well as QTc interval were analyzed.
609	F.2 Methylation	E. Associate	0	ERBB3	heart failure	We detected methylation differences in pathways related to heart disease, but also in genes with yet unknown function in DCM or heart failure, namely Lymphocyte antigen 75 (LY75), Tyrosine kinase-type cell surface receptor HER3 (ERBB3), Homeobox B13 (HOXB13) and Adenosine receptor A2A (ADORA2A).
610	A. Expression	E. Associate	0	GPR35	Cardiac Failure	Since mechanisms controlling GPR35 expression are not known, we investigated the regulation of GPR35 gene and protein expression in cardiac myocytes and in the mouse models of cardiac failure.
611	F.1 Phosphorylation	E. Associate	0	phospholamban	heart failure	Inotropic and lusitropic responses were measured in left ventricular muscle strips and cyclic nucleotide levels, PDE activity and phospholamban (PLB) and troponin I (TnI) phosphorylation were measured in ventricular cardiomyocytes from Wistar rats with heart failure 6 weeks after myocardial infarction.
612	A.2 Under-expression	E. Associate	1	angiotensin II	chf	In addition, EPI-ext significantly inhibited the serum levels of tumor necrosis factor alpha, norepinephrine, angiotensin II and brain natriuretic peptide in rats with CHF and improved the histological changes including cadiocyte hypertrophy, cadiocyte degeneration, inflammatory infiltration, and cardiac desmoplasia.
613	A.1 Over-expression	E. Associate	0	angiotensin II	CHRONIC HEART FAILURE	Since 1) dilated cardiomyopathy (DCM) causes chronic heart failure (CHF), and 2) augmentation of neurohumoral factors such as angiotensin II impairs glucose metabolism, we examined the rate of abnormal glucose metabolism in patients having both DCM and CHF and whether correction of the impairment of glucose metabolism would improve the pathophysiology of CHF in DCM patients.
614	L. Be regulated	E. Associate	0	ANP	heart failure	Although both hormones exert almost identical biological actions, the differential regulation of cardiac ANP and BNP mRNA in compensated and overt heart failure is not known.
615	A. Expression	E. Associate	1	DDAH-1	Acute Congestive Heart Failure	The biological effect of pharmacological treatment on dimethylaminohydrolases (DDAH-1) and cationic amino acid transporter-1 (CAT-1) expression in patients with acute congestive heart failure.
616	F.2 Methylation	E. Associate	0	HER3	heart failure	We detected methylation differences in pathways related to heart disease, but also in genes with yet unknown function in DCM or heart failure, namely Lymphocyte antigen 75 (LY75), Tyrosine kinase-type cell surface receptor HER3 (ERBB3), Homeobox B13 (HOXB13) and Adenosine receptor A2A (ADORA2A).
617	M.2 Knock in	E. Associate	0	inhibitor-1	heart failure	Aim of our study was to assess the effects of adeno-associated virus serotype 9 (AAV9) - mediated cardiac-specific expression of constitutively active inhibitor-1 (I-1c) and to investigate whether I-1c is able to attenuate the development of heart failure in mice subjected to transverse aortic constriction (TAC).
618	I. None	E. Associate	0	CML	chf	We evaluated whether the AGE/RAGE system is activated in stable CHF and COPD, and whether plasma sRAGE and CML levels are affected by clinical and functional parameters.
619	J. Inhibition	E. Associate	0	dipeptidyl peptidase 4	heart failure	We assessed the association of dipeptidyl peptidase 4 inhibitors (DPP4i) with hospitalization for heart failure (HF) using the Korean Health Insurance claims database.
620	I. None	E. Associate	1	IGF-I	heart failure	Myostatin and IGF-I signaling in end-stage human heart failure: a qRT-PCR study.
621	I. None	E. Associate	0	galectin-3	heart failure	Moreover, though not specifically investigated in diabetic cohorts, plasma levels of galectin-3 correlated with the prevalence of diabetes and related metabolic conditions, thus suggesting that pharmacological blockade of this lectin might be successful for treating heart failure especially in subjects suffering from these disorders.
622	I. None	E. Associate	1	ET	chf	Conflicting data exist about the endothelin-1 (ET) level in patients with mild to moderate CHF and the effect of maximal exercise on plasma ET levels.
623	I. None	E. Associate	0	TNF-alpha	chf	At baseline, 125 patients with CHF were assessed for kidney dysfunction and Type D. Serum levels of proinflammatory cytokines (TNF-alpha, sTNFR1, sTNFR2, IL-6), the anti-inflammatory cytokines IL-10, and IL-1 receptor antagonist were measured at 1-year follow-up.
624	A. Expression	E. Associate	0	TIMP-1	congestive heart failure	To study the changes of matrix metalloproteinase-3 (MMP-3) and tissue inhibitor of matrix metalloproteinase-1(TIMP-1) expression during congestive heart failure.
625	J. Inhibition	E. Associate	0	angiotensin-converting enzyme	heart failure	The mechanisms of action of omapatrilat, an agent that inhibits both neutral endopeptidase 24.11 and angiotensin-converting enzyme, on arterial function in patients with heart failure have not been previously reported.
626	A.1 Over-expression	A. Treat	0	ANP	chf	However, it is still unknown whether such elevation of the ANP and BNP may offer a therapeutic benefit to the progression of chronic heart failure (CHF).
627	A. Expression	E. Associate	0	proliferating cell nuclear antigen	chf	In 20 myocardial samples from patients with terminal CHF (before and after LVAD), the protein expression of survivin, cyclin D1, cdk4, p16(INK4a), and proliferating cell nuclear antigen (PCNA) was immunohistochemically investigated and morphometrically quantified by calculating the percentage of positive cardiomyocytes per visual field.
628	I. None	H. Benefit	0	apelin	heart failure	The present study investigates whether apelin, a newly described inotropic peptide with important cardiovascular regulatory properties, contributes to the functional improvement in patients with severe heart failure after cell transplantation.
629	D.1 Mutation	E. Associate	0	PTPN11	congestive heart failure	We report on a woman with LS and a novel Gln510His mutation in PTPN11, who had progressive HCM with congestive heart failure and nonsustained ventricular tachycardia, successfully treated with implantable cardioverter defibrillator (ICD).
630	L. Be regulated	E. Associate	1	LIMK1	chf	Thus, we determined to probe into the effects of miR-93 in rats with CHF by targeting LIMK1 through regulating RhoA/ROCK pathway.
631	F.2 Methylation	E. Associate	0	ASC	heart failure	Effects of Exercise on ASC Methylation and IL-1 Cytokines in Heart Failure.
632	I. None	E. Associate	0	adrenomedullin	heart failure	We have developed a specific radioimmunoassay and measured the immunoreactivity of human adrenomedullin in the plasma of 58 male subjects: eight with essential hypertension, 12 with heart failure, 10 with ascites due to cirrhosis, 12 with chronic renal failure, four with hypoxia due to chronic obstructive pulmonary disease and 12 control subjects.
633	I. None	E. Associate	0	IL-17	chf	Since VD expresses anti-inflammatory properties, we investigated its impact on cytokines implicated in CHF, such as TNFα and IL-17, in patients suffering from CHF.
634	I. None	H. Benefit	0	GHRP	chf	However, whether GHRP have a beneficial effect on chronic heart failure (CHF) is unclear, and the present work aims to clarify this issue.
635	I. None	E. Associate	0	guanine nucleotide regulatory protein	congestive heart failure	We have examined another hypothesis, one that states the stimulatory guanine nucleotide regulatory protein (Gs) that couples the beta-adrenergic receptor to adenylate cyclase activity is also decreased in congestive heart failure.
636	I. None	E. Associate	0	GRK2	heart failure	Although the canonical role of GRKs is to desensitize G protein-coupled receptors via phosphorylation, it has been demonstrated that GRK5, unlike GRK2, can reside in the nucleus of myocytes and exert G protein-coupled receptor-independent effects that promote maladaptive cardiac hypertrophy and heart failure.
637	L. Be regulated	H. Benefit	0	AC6	heart failure	Therefore, in the present study, we aimed to explore whether HSF1 can play its role in ameliorating heart failure by regulating AC6, and how the potential internal mechanisms work.
638	A. Expression	E. Associate	0	PLB	heart failure	These data also show that the altered SR function in human heart failure cannot be explained by altered protein levels of PLB and SERCA2.
639	I. None	E. Associate	0	DBP	heart failure	This study sought to determine if low serum 25-hydroxyvitamin D (25[OH]D) is associated with incident heart failure (HF) and if the association is: 1) partly mediated by traditional cardiovascular risk factors; 2) stronger among whites than blacks; and 3) stronger among those genetically predisposed to having high levels of vitamin D binding protein (DBP).
640	J. Inhibition	H. Benefit	0	angiotensin-converting enzyme	congestive heart failure (CHF)	This study aimed to examine whether angiotensin-converting enzyme (ACE) inhibition improved cardiac fatty acid metabolism in patients with congestive heart failure (CHF).
641	I. None	E. Associate	0	antidiuretic hormone	congestive heart failure (CHF)	Plasma antidiuretic hormone (ADH), PRA, plasma osmolality, and the parameters of renal water excretion were measured after overnight dehydration and for 5 h after an oral load in 14 patients with congestive heart failure (CHF) treated with diuretics (group 1), 8 hypertensive patients without CHF also treated with diuretics (group 2), and 11 patients with coronary artery disease but without CHF who were not treated with diuretics (group 3).
642	D.1 Mutation	E. Associate	0	LMNA	heart failure	Limb-girdle muscular dystrophy with severe heart failure overlapping with lipodystrophy in a patient with LMNA mutation p.Ser334del.
643	F.2 Methylation	E. Associate	0	norepinephrine transporter	heart failure	To explore the methylation status in promoter region of norepinephrine transporter gene (NET, SLC6A2) in heart failure ( HF) patients and its correlation with qi deficiency/blood stasis syndrome (QDS/BSS).
644	F.1 Phosphorylation	E. Associate	0	MLCK	heart failure	In order to determine changes in MLC phosphorylation in cardiac hypertrophy and heart failure, the relative content of MLCK and MLC phosphorylation in the cardiac muscle from both sham control and experimental rats were assessed at 4 and 8 weeks following ligation of the left coronary artery.
645	A. Expression	E. Associate	0	titin	heart failure	We tested whether changes in titin isoform expression occur in the diastolic dysfunction that accompanies heart failure.
646	A.1 Over-expression	E. Associate	0	GLP-1	heart failure	To elucidate the effect of increased endogenous GLP-1 during heart failure progression, the DPP4 inhibitor saxagliptin or vehicle was administered by daily oral gavage to female TG9 mice, a transgenic model of dilated cardiomyopathy, starting at day of life 42, just prior to the development of detectable contractile dysfunction.
647	L. Be regulated	E. Associate	0	TIMP4	heart failure	To validate this hypothesis, we created heart failure model by creating AV fistula in C57BL/6 mice and looked into the promoter methylation (methylation specific PCR, high resolution melting, methylation sensitive restriction enzyme and Na bisulphite treatment followed by sequencing), histone modification (ChIP assay) and microRNAs that regulate TIMP4 (mir122a) and MMP9 (mir29b and mir455-5p).
648	I. None	E. Associate	0	von Willebrand factor	chf	We hypothesized that acute and chronic CHF may manifest different degrees of endothelial damage/dysfunction and activation, as reflected by different plasma endothelial markers, such as von Willebrand factor (vWF) and soluble thrombomodulin (both are indexes of endothelial damage/dysfunction) and soluble E-selectin (an index of endothelial activation).
649	J. Inhibition	E. Associate	0	ACE	heart failure	Can angiotensin converting enzyme (ACE) inhibitors influence the risk of sudden cardiac death in patients with heart failure?
650	F.1 Phosphorylation	E. Associate	0	phospholamban	heart failure	We therefore investigated whether alterations in cAMP-dependent phosphorylation of phospholamban may be responsible for the reduced SR Ca2+-ATPase activity in human heart failure.
651	I. None	E. Associate	0	VASP	heart failure	In platelets from patients with heart failure due to idiopathic dilated cardiomyopathy (n= 16) and healthy control subjects (n= 23), NO synthase (NOS) activity was evaluated by L-[(3)H]-arginine to l-[(3)H]-citrulline conversion, cGMP was determined by radioimmunoassay, vasodilator-stimulated phosphoprotein (VASP: total and serine-239-phosphorylated) was assessed by western blotting, and O(2)(-) production and O(2)(-) scavenging capacity were measured by pholasin-enhanced chemiluminescence.
652	A. Expression	E. Associate	0	eNOS	CHRONIC HEART FAILURE	Endothelial nitric oxide synthase (eNOS) and vascular endothelial growth factor (VEGF) gene expression in the skeletal muscle, peak oxygen consumption (VO2) and calf peak reactive hyperemia were measured before and after 12 weeks of supervised physical training in 10 patients with chronic heart failure.
653	A. Expression	E. Associate	0	dynamin-related protein 1	heart failure with reduced ejection fraction	We sought to investigate the expression of this pathway along with the expression of mitochondrial biogenesis (PGC-1α [peroxisome proliferator-activated receptor-γ coactivator-1α]), dynamics (DRP-1 [dynamin-related protein 1], OPA-1 [optic atrophy 1], and MFN 2 [mitofusin 2]), and oxidative phosphorylation (citrate synthase and electron transport chain complexes) markers and COX IV (cytochrome C oxidase) activity in myocardium from patients with valvular or ischemic heart disease and heart failure with preserved ejection fraction (HFpEF) or heart failure with reduced ejection fraction (HFrEF).
654	I. None	E. Associate	0	erythropoietin	chf	Serum hepcidin-25, erythropoietin (EPO), ferritin and IL-6 concentrations were measured in 61 CHF patients.
655	A. Expression	E. Associate	0	PACAP	heart failure	Therefore, the aim of the present study was to measure the alterations of blood PACAP levels in chronic heart failure caused by primary dilated cardiomyopathy or ischemic cardiomyopathy and to examine the possible relationship between serum levels of PACAP, N-terminal prohormone of brain natriuretic peptide (NT-proBNP), and systolic left ventricular function, the most reliable biomarkers of heart failure.
656	I. None	E. Associate	0	LD	heart failure	Papillary muscles from 20 patients with heart failure during mitral valves replacement and 6 control subjects died of non-cardiac accidents were obtained and free fat acid (FFA), lactic acid (LD) and the activity of Na(+)K(+)-ATPase and Ca(2+)Mg(2+)-ATPase, protein and mRNA expressions of beta(3)-adrenergic receptor and PPARalpha were measured.
657	D.1 Mutation	C. Cause	0	ACTC	heart failure	To test the hypothesis that actin dysfunction leads to heart failure, patients with hereditary idiopathic dilated cardiomyopathy (IDC) were examined for mutations in the cardiac actin gene (ACTC).
658	A. Expression	E. Associate	0	titin	heart failure	This study examined the effects of long-term monotherapy with the aldosterone receptor blocker eplerenone on mRNA and protein expression of the cytoskeletal proteins titin, tubulin, fibronectin and vimentin, the matrix metalloproteinases (MMPs)-1, -2 and -9, and the tissue inhibitors of MMPs (TIMPs)-1 and -2 in left ventricular (LV) myocardium of dogs with heart failure (HF).
659	A. Expression	E. Associate	0	dynamin-related protein 1	HEART FAILURE WITH PRESERVED EJECTION FRACTION	We sought to investigate the expression of this pathway along with the expression of mitochondrial biogenesis (PGC-1α [peroxisome proliferator-activated receptor-γ coactivator-1α]), dynamics (DRP-1 [dynamin-related protein 1], OPA-1 [optic atrophy 1], and MFN 2 [mitofusin 2]), and oxidative phosphorylation (citrate synthase and electron transport chain complexes) markers and COX IV (cytochrome C oxidase) activity in myocardium from patients with valvular or ischemic heart disease and heart failure with preserved ejection fraction (HFpEF) or heart failure with reduced ejection fraction (HFrEF).
660	A. Expression	E. Associate	0	aromatase	systolic heart failure	Expression of sex steroid receptors and aromatase in adipose tissue in different body regions in men with coronary artery disease with and without ischemic systolic heart failure.
661	I. None	E. Associate	0	parathyroid hormone-related protein	chf	Blood samples from the patients with chronic heart failure (CHF) caused by ischaemic disease (coronary artery disease) (NYHA class I-IV) were used to analyze the levels of calcium, inorganic phosphate, sodium, potassium, parathyroid hormone (PTH) and parathyroid hormone-related protein (PTHrP).
662	A. Expression	E. Associate	0	DRP-1	HEART FAILURE WITH PRESERVED EJECTION FRACTION	We sought to investigate the expression of this pathway along with the expression of mitochondrial biogenesis (PGC-1α [peroxisome proliferator-activated receptor-γ coactivator-1α]), dynamics (DRP-1 [dynamin-related protein 1], OPA-1 [optic atrophy 1], and MFN 2 [mitofusin 2]), and oxidative phosphorylation (citrate synthase and electron transport chain complexes) markers and COX IV (cytochrome C oxidase) activity in myocardium from patients with valvular or ischemic heart disease and heart failure with preserved ejection fraction (HFpEF) or heart failure with reduced ejection fraction (HFrEF).
663	A. Expression	E. Associate	0	inducible NOS	hypertensive heart failure	To elucidate the relationship between renin-angiotensin system and nitric oxide in hypertensive heart failure, we evaluated the effects of long-term treatment with imidapril, angiotensin-converting enzyme inhibitor, on endothelial-cell nitric oxide synthase (eNOS) and inducible NOS (iNOS) expression in the left ventricle (LV) and its relation to myocardial remodelling in failing heart of Dahl salt-sensitive hypertensive rats (DS) fed a high-salt diet.
664	J. Inhibition	E. Associate	0	NEP	chf	We studied CGRP-like immunoreactivity (CGRP-ir) in rat plasma in a coronary artery-ligation model of CHF with and without NEP inhibition.
665	F.1 Phosphorylation	E. Associate	0	eNOS	CHRONIC HEART FAILURE	Impact of Rosuvastatin Treatment on HDL-Induced PKC-βII and eNOS Phosphorylation in Endothelial Cells and Its Relation to Flow-Mediated Dilatation in Patients with Chronic Heart Failure.
666	J. Inhibition	E. Associate	0	AVP	heart failure	The purpose of this study was to examine the renal effects of a V2 receptor arginine vasopressin (AVP) antagonist in heart failure.
667	A. Expression	E. Associate	0	RPLP0	heart failure	We assessed the expression of 16 reference genes (ACTB, B2M, GAPDH, GUSB, HMBS, HPRT1, IPO8, PGK1, POLR2A, PPIA, RPLP0, TBP, TFRC, UBC, YWHAZ, 18S) in tissues from: right and left ventricles from healthy controls and heart failure (HF) patients; right-atrial tissue from patients in sinus rhythm with (SRd) or without (SRnd) atrial dilatation, patients with paroxysmal (pAF) or chronic (cAF) atrial fibrillation or with HF; and left-atrial tissue from patients in SR or cAF.
668	A.1 Over-expression	E. Associate	1	HER2	breast cancer	Neoadjuvant chemotherapy plus trastuzumab results in a 30% to 50% pathologic complete response (pCR) rate in human epidermal growth factor receptor 2 (HER2)-positive breast cancer and has been associated with improved therapeutic outcomes.
669	A.1 Over-expression	E. Associate	1	progesterone receptor	breast cancer	Evidence suggests hormonal factors may be more strongly associated with estrogen receptor+progesterone receptor+ (ER+PR+) than ER-PR- breast cancer risk.
670	I. None	B. Target	1	estrogen receptor	Triple-negative breast cancer	Triple-negative breast cancer (TNBC) is insensitive to endocrine therapy and targeted therapy to human epidermal growth factor receptor-2 (HER2), estrogen receptor (ER) and progesterone receptor (PR).
671	H. Other	B. Target	1	FGFR1	GASTRIC CANCER	It also displays an outstanding anti-tumor activity in a gastric cancer xenograft tumor model by targeting FGFR1 signaling.
672	I. None	E. Associate	1	EGFR	NSCLC	In Thailand, the first-line treatment for advanced NSCLC with TKIs conditional on EGFR test results was not cost-effective as compared with platinum doublets for all.
673	L. Be regulated	E. Associate	1	STAT3	lung cancer	MiR-218 acts as a tumor suppressor in lung cancer via IL-6/STAT3 signaling pathway regulation.
674	A. Expression	E. Associate	1	PD-L1	non-small cell lung cancer	The PD-1 inhibitor pembrolizumab may be a better first-line treatment than chemotherapy for many patients with advanced non-small cell lung cancer: In a phase III trial, patients with PD-L1 expression of 1% or higher treated with the drug had better overall survival, a longer duration of response, and fewer side effects than patients who received chemotherapy alone.
675	A.2 Under-expression	E. Associate	1	MMP1	lung metastasis	Therapeutic inhibition of miR-181a decreased expression of VEGF and MMP1 in vitro, and angiogenesis, MMP1 activity, tumor growth, and lung metastasis, all by more than 50%, in a xenograft mouse model.
676	J. Inhibition	A. Treat	1	ALK	non-small cell lung cancer	Detection of anaplastic lymphoma kinase (ALK) gene rearrangement in non-small cell lung cancer and related issues in ALK inhibitor therapy: a literature review.
677	J. Inhibition	A. Treat	1	ALK	NSCLC	ALK+ NSCLC cells respond well to small molecule ALK inhibitors such as crizotinib; however, resistance invariably develops after several months of treatment.
678	L. Be regulated	C. Cause	1	VIM	lung cancer	The target genes of 13 deregulated miRNAs including CRK, NR2F2, VIM, RASSF1, CCND2, PRKCA, SIRT1, CDK6, MAP3K7, HIF1A, UBE2V2, ATG10, BAX, E2F1, RASSF5 and CTNNB1, could involve in the pathway of lung cancer developing.
679	D.1 Mutation	E. Associate	1	RET	MEN2A	In the interests of simplifying genetic molecular diagnosis, I suggest the following guidelines: 1) only in cases of total colonic aganglionosis (TCA) is it advisable to carry out full RET mutation screening (the mutation rate is up to 70 %); and 2) all HSCR patients should be tested only for standard MEN2A and MTC mutations.
680	I. None	F. None	1	EGFR	breast cancer	These trials were designed to determine if patients with advanced malignancies would derive benefit from the addition of seribantumab to standard-of-care drugs in platinum-resistant/refractory ovarian cancer, hormone receptor-positive HER2-negative breast cancer, and EGFR wild-type non-small cell lung cancer (NSCLC).
681	I. None	E. Associate	1	MMP9	breast cancer	Circulating MMP2 and MMP9 in breast cancer -- potential role in classification of patients into low risk, high risk, benign disease and breast cancer categories.
682	D.1 Mutation	C. Cause	1	BRCA2	familial breast cancer	Less than 20% of familial breast cancer patients who undergo genetic testing for BRCA1 and BRCA2 carry a pathogenic mutation in one of these two genes.
